iter	Logloss
0	0.6809563547
1	0.6769463238
2	0.6751518908
3	0.6741629923
4	0.6725941097
5	0.6716124321
6	0.6675969498
7	0.6668612195
8	0.6665531397
9	0.6662001109
10	0.6658557245
11	0.6657473699
12	0.6623161211
13	0.6602089245
14	0.6595001058
15	0.659268108
16	0.6590126468
17	0.6585691182
18	0.6584990647
19	0.6582719074
20	0.6577577133
21	0.6576018986
22	0.657466801
23	0.6572170335
24	0.6569635863
25	0.6568574614
26	0.6565652924
27	0.6562902727
28	0.6561390289
29	0.656055093
30	0.6559924434
31	0.655818274
32	0.6556685693
33	0.6555329852
34	0.6553127113
35	0.6552287249
36	0.6551544185
37	0.6550964102
38	0.6547293195
39	0.6546099804
40	0.6545110234
41	0.6544261661
42	0.6543864755
43	0.6543280617
44	0.6542779214
45	0.6541917739
46	0.654022763
47	0.6538374534
48	0.6536064409
49	0.6535111837
50	0.6533924302
51	0.6533012596
52	0.6532339707
53	0.6531723582
54	0.6530584953
55	0.6530027616
56	0.6529260925
57	0.6528443189
58	0.6528012116
59	0.6527392811
60	0.6526931096
61	0.6526454476
62	0.6525130288
63	0.6524242026
64	0.652339429
65	0.6522981975
66	0.6522289949
67	0.65217485
68	0.6520882175
69	0.6519994019
70	0.6519325798
71	0.6518334207
72	0.651778555
73	0.6517204932
74	0.6516665008
75	0.6516362894
76	0.6515781938
77	0.6515473961
78	0.6515050594
79	0.6514632755
80	0.6514267335
81	0.6513912297
82	0.6513636644
83	0.651334692
84	0.6513108274
85	0.6512852551
86	0.6512375595
87	0.6512006156
88	0.6511379986
89	0.6511138175
90	0.6510928326
91	0.6510317567
92	0.6509626407
93	0.6509296828
94	0.6509062034
95	0.6508751042
96	0.6508506551
97	0.6508281974
98	0.6508029764
99	0.6507794299
100	0.6507368087
101	0.6507010705
102	0.6506702056
103	0.65065011
104	0.650624739
105	0.6505918956
106	0.6505564089
107	0.6504909111
108	0.6504492444
109	0.6503768972
110	0.6503160551
111	0.6502861112
112	0.6502684942
113	0.650207167
114	0.6501512488
115	0.6501114745
116	0.6500790857
117	0.6500386918
118	0.6499989676
119	0.6499039953
120	0.6498752406
121	0.6498549429
122	0.64981264
123	0.6497543268
124	0.6497180525
125	0.6496924965
126	0.6496654333
127	0.6496427409
128	0.649615393
129	0.649595531
130	0.6495600439
131	0.649517925
132	0.6494954338
133	0.6494515733
134	0.6494204908
135	0.649392607
136	0.6493429518
137	0.6493216496
138	0.649301521
139	0.649268848
140	0.6492285546
141	0.6492049749
142	0.6491651504
143	0.6491277375
144	0.6490965542
145	0.6490761236
146	0.6490604819
147	0.6490360644
148	0.6490154318
149	0.648998869
150	0.6489735641
151	0.6489350962
152	0.6489179805
153	0.648881238
154	0.648849854
155	0.6488153887
156	0.6487994768
157	0.6487571734
158	0.6487177516
159	0.6486929165
160	0.6486797363
161	0.6486537111
162	0.6486339831
163	0.6486152264
164	0.6485867395
165	0.6485643488
166	0.6485464132
167	0.648527807
168	0.6484896741
169	0.6484594793
170	0.6484314782
171	0.6484080825
172	0.6483800814
173	0.6483345964
174	0.648320931
175	0.6482965138
176	0.648270422
177	0.6482512467
178	0.6482319375
179	0.6482062315
180	0.648188597
181	0.6481726033
182	0.648151435
183	0.6481243554
184	0.6481072902
185	0.6480880983
186	0.6480597953
187	0.6480423449
188	0.6480185809
189	0.6480038453
190	0.6479893927
191	0.6479627323
192	0.6479269943
193	0.6479150368
194	0.647901936
195	0.6478863771
196	0.647870551
197	0.6478470886
198	0.6478241772
199	0.6477940324
200	0.647780819
201	0.647756134
202	0.6477307791
203	0.6477059763
204	0.6476809395
205	0.6476519506
206	0.6476348515
207	0.6476084749
208	0.647591912
209	0.6475777273
210	0.6475503798
211	0.6475306183
212	0.6475158642
213	0.6474967389
214	0.647472154
215	0.6474545354
216	0.6474383578
217	0.6474160843
218	0.6473987355
219	0.6473762276
220	0.6473642535
221	0.6473409417
222	0.6473268741
223	0.6473073804
224	0.6472799821
225	0.6472590815
226	0.6472444277
227	0.6472242813
228	0.6472010529
229	0.6471816096
230	0.6471580298
231	0.647143913
232	0.647129174
233	0.6471040035
234	0.6470868723
235	0.6470764893
236	0.6470382391
237	0.6470267674
238	0.6470110252
239	0.6469963381
240	0.6469860051
241	0.6469709998
242	0.6469574687
243	0.6469452602
244	0.6469326162
245	0.6469117334
246	0.6468975821
247	0.6468875004
248	0.6468695821
249	0.6468514287
250	0.6468246001
251	0.646811956
252	0.6467749282
253	0.6467608774
254	0.6467380347
255	0.6467262448
256	0.646706835
257	0.646687308
258	0.6466632257
259	0.6466284588
260	0.6466046277
261	0.6465800766
262	0.6465578364
263	0.6465457452
264	0.6465324147
265	0.6464905971
266	0.6464610554
267	0.6464454302
268	0.6464333052
269	0.6464100586
270	0.6463988044
271	0.6463893253
272	0.6463709034
273	0.6463527654
274	0.646343253
275	0.6463309777
276	0.6463210802
277	0.646299694
278	0.6462832654
279	0.6462719445
280	0.6462475775
281	0.6462302109
282	0.6462048896
283	0.6461913748
284	0.6461761858
285	0.6461596563
286	0.6461397935
287	0.6461168164
288	0.6461019953
289	0.6460894214
290	0.6460698445
291	0.6460459299
292	0.6460315777
293	0.6460188498
294	0.6459905801
295	0.6459707535
296	0.6459533017
297	0.6459379457
298	0.6459292874
299	0.645911301
300	0.6458996791
301	0.6458851761
302	0.6458603404
303	0.6458475788
304	0.6458336781
305	0.6458239985
306	0.6458123592
307	0.6457882601
308	0.6457737075
309	0.6457665228
310	0.6457546996
311	0.645744819
312	0.6457296463
313	0.6457129661
314	0.6457029514
315	0.6456813311
316	0.6456705796
317	0.6456583542
318	0.6456429981
319	0.6456193849
320	0.6456059355
321	0.645586174
322	0.6455709174
323	0.6455607358
324	0.6455480749
325	0.645541996
326	0.6455283309
327	0.6455087368
328	0.6454966623
329	0.6454740202
330	0.6454614265
331	0.6454560506
332	0.6454424358
333	0.6454227413
334	0.6453925464
335	0.645381828
336	0.6453698376
337	0.6453530571
338	0.6453363446
339	0.6453249565
340	0.6453125971
341	0.6452958668
342	0.6452842778
343	0.6452742631
344	0.6452594583
345	0.6452456583
346	0.6452278227
347	0.6452073411
348	0.6451976948
349	0.6451792898
350	0.6451646366
351	0.6451398845
352	0.6451278435
353	0.6451166398
354	0.6451050675
355	0.6450914019
356	0.6450740858
357	0.6450600849
358	0.645046302
359	0.6450102949
360	0.6450010515
361	0.6449863978
362	0.6449545617
363	0.6449385351
364	0.6449276659
365	0.6449145362
366	0.6449008017
367	0.6448896483
368	0.6448805881
369	0.6448623164
370	0.6448519664
371	0.6448399589
372	0.6448298937
373	0.6448185057
374	0.6448042372
375	0.6447925479
376	0.6447799207
377	0.6447691541
378	0.6447591226
379	0.6447482035
380	0.6447343537
381	0.6447215258
382	0.6447085304
383	0.6446954344
384	0.6446841799
385	0.6446729091
386	0.6446569324
387	0.6446455947
388	0.6446345249
389	0.6446207422
390	0.6446052845
391	0.6445971119
392	0.6445814034
393	0.6445647736
394	0.644557405
395	0.6445508214
396	0.6445301726
